省名,站名,站名简码
福建,晋江,JJI
福建,来舟,LZH
福建,连江,LJI
福建,龙山镇,LSZ
福建,龙岩,LYA
福建,罗源,LYU
福建,马坑,MKE
福建,麦园,MYU
福建,梅水坑,MSK
福建,闽清,MQI
福建,南安,NAN
福建,南靖,NJI
福建,南平,NPI
福建,南平南,NPN
福建,宁德,NDE
福建,苹林,PLI
福建,莆田,PTI
福建,前场,QCH
福建,青州,QZH
福建,泉州,QZH
福建,泉州东,QZD
福建,三明,SMI
福建,三明北,SMB
福建,沙县,SXI
福建,上杭,SHA
福建,邵武,SWU
福建,顺昌,SCH
福建,苏坂,SBA
福建,泰宁,TNI
福建,太姥山,TMS
福建,外洋,WYA
福建,武夷山,WYS
福建,霞浦,XPU
福建,厦门,XME
福建,厦门北,XMB
福建,厦门高崎,XMQ
福建,夏茂,XMA
福建,仙师,XSH
福建,小舟,XZH
福建,杏林,XLI
福建,雁石,YSH
福建,永安,YAN
福建,永定,YDI
福建,永泰,YTA
福建,尤溪,YXI
福建,云霄,YXI
福建,樟林,ZLI
福建,漳平,ZPI
福建,漳浦,ZPU
福建,漳州,ZZH
福建,漳州东,ZZD
福建,中仙,ZXI
福建,诏安,ZAN
福建,坂尾,BWE
甘肃,安北,ABE
甘肃,安口窑,AKY
甘肃,白银市,BYS
甘肃,白银西,BYX
甘肃,长城,CCH
甘肃,长征,CZH
甘肃,陈官营,CGY
甘肃,崇信,CXI
甘肃,打柴沟,DCG
甘肃,大武口,DWK
甘肃,低窝铺,DWP
甘肃,定西,DXI
甘肃,东湾,DWA
甘肃,敦煌,DHU
甘肃,丰水村,FSC
甘肃,甘草店,GCD
甘肃,甘谷,GGU
甘肃,皋兰,GLA
甘肃,高台,GTA
甘肃,古浪,GLA
甘肃,瓜州,GZH
甘肃,河口南,HKN
甘肃,贺家店,HJD
甘肃,黑冲滩,HCT
甘肃,宏庆,HQI
甘肃,红柳河,HLH
甘肃,红砂岘,HSX
甘肃,红岘台,HXT
甘肃,黄羊镇,HYZ
甘肃,徽县,HXI
甘肃,嘉峪关,JYG
甘肃,金昌,JCH
甘肃,景泰,JTA
甘肃,镜铁山,JTS
甘肃,靖远,JYU
甘肃,靖远西,JYX
甘肃,酒泉,JQU
甘肃,兰州,LZH
甘肃,兰州东,LZD
甘肃,兰州西,LZX
甘肃,狼尾山,LWS
甘肃,李家坪,LJP
甘肃,两当,LDA
甘肃,临泽,LZE
甘肃,柳沟,LGO
甘肃,柳园,LYU
甘肃,龙沟,LGO
甘肃,龙泉寺,LQS
甘肃,陇西,LXI
甘肃,绿化,LHU
甘肃,洛门,LME
甘肃,骆驼巷,LTX
甘肃,庙庄,MZH
