Station_train_code,Departure,Destination
D656,宁波,重庆北
D657,宁波,重庆北
D658,重庆北,宁波
D671,福州南,深圳北
D672,深圳北,福州南
D673,厦门,深圳北
D674,深圳北,厦门
D675,厦门,深圳北
D676,深圳北,厦门
D677,漳州,深圳北
D678,深圳北,漳州
D682,深圳北,厦门
D683,厦门,深圳北
D684,深圳北,厦门
D685,厦门,深圳北
D687,厦门,深圳北
D688,深圳北,厦门
D689,厦门北,深圳北
D690,深圳北,厦门北
D691,厦门,深圳北
D692,深圳北,厦门
D701,北京,上海
D702,上海,北京
D705,北京,上海
D706,上海,北京
D707,北京南,上海虹桥
D708,上海虹桥,北京南
D709,北京南,上海
D710,上海,北京南
D711,北京,杭州
D712,杭州,北京
D715,北京南,南京
D716,南京,北京南
D717,北京,杭州
D718,杭州,北京
D751,重庆北,兰州
D752,兰州西,重庆北
D753,重庆北,兰州
D754,兰州,重庆北
D755,重庆北,兰州
D756,兰州,重庆北
D761,成都东,兰州
D762,兰州,成都东
D763,兰州,成都东
D764,成都东,兰州
D951,成都东,上海
D952,上海,成都东
D953,上海,成都东
D954,成都东,上海
D955,重庆北,上海
D956,上海,重庆北
D957,上海,重庆北
D958,重庆北,上海
D959,厦门北,深圳北
D960,深圳北,厦门北
D1601,石家庄,济南西
D1603,石家庄,济南西
D1604,济南西,石家庄
D1606,济南西,石家庄
D1611,石家庄,青岛北
D1612,青岛北,石家庄
D1615,石家庄,威海
D1616,威海,石家庄
D1621,石家庄,荣成
D1622,荣成,石家庄
D1623,石家庄,威海
D1624,威海,石家庄
D1625,石家庄,烟台
D1626,烟台,石家庄
D1631,太原南,青岛北
D1632,青岛北,太原南
D1633,青岛北,太原南
D1634,太原南,青岛北
D1635,运城北,青岛
D1636,青岛,运城北
D1637,青岛,运城北
D1638,运城北,青岛
D1643,运城北,济南西
D1644,济南西,运城北
D1645,济南西,运城北
D1646,运城北,济南西
D1691,青岛北,盐城北
D1692,盐城北,青岛北
D1693,青岛北,盐城北
D1694,盐城北,青岛北
D1695,盐城北,威海
D1696,威海,盐城北
D1697,威海,盐城北
D1698,盐城北,威海
D1701,西安北,贵阳北
D1702,贵阳北,西安北
D1703,贵阳北,西安北
D1704,西安北,贵阳北
D1705,西安北,贵阳北
D1706,贵阳北,西安北
D1707,贵阳北,西安北
D1708,西安北,贵阳北
D1779,成都东,北海
D1780,北海,成都东
D1781,成都东,南宁东
D1782,南宁东,成都东
D1785,成都东,南宁东
D1786,南宁东,成都东
D1791,重庆西,柳州
D1793,重庆西,北海
D1794,南宁东,重庆西
D1796,柳州,重庆西
D1801,成都东,广州南
D1806,广州南,成都东
D1807,广州南,成都东
D1809,成都东,广州南
D1810,广州南,成都东
D1812,成都东,广州南
D1817,成都东,广州南
D1818,广州南,成都东
D1819,广州南,成都东
D1820,成都东,广州南
D1821,成都东,广州南
D1822,广州南,成都东
D1824,成都东,广州南
D1825,成都东,广州南
D1826,广州南,成都东
D1833,成都东,广州南
D1834,广州南,成都东
D1835,广州南,成都东
D1837,成都东,桂林北
D1838,桂林北,成都东
D1841,成都东,珠海
D1842,珠海,成都东
D1849,广州,广元
D1850,广元,广州
D1851,广元,广州
D1852,广州,广元
D1853,广州,成都东
D1854,成都东,广州
D1855,成都东,广州
D1856,广州,成都东
D1857,广州,成都东
D1858,成都东,广州
D1859,成都东,广州
D1860,广州,成都东
D1861,重庆西,广州南
D1862,广州南,重庆西
D1864,广州南,重庆西
D1865,重庆西,广州南
D1867,重庆西,广州南
D1868,广州南,重庆西
D1871,重庆西,广州南
D1872,广州南,重庆西
D1874,广州南,重庆西
D1875,重庆西,广州南
D1877,重庆西,广州南
D1881,万州北,广州南
D1882,广州南,万州北
D1883,广州南,万州北
D1884,万州北,广州南
D1901,太原南,成都东
D1902,成都东,太原南
D1903,太原南,成都东
D1904,成都东,太原南
D1905,太原南,成都东
D1906,成都东,太原南
D1911,西安北,成都东
D1912,成都东,西安北
D1913,西安北,成都东
D1914,成都东,西安北
D1915,西安北,成都东
D1917,西安北,成都东
D1918,成都东,西安北
D1919,西安北,成都东
D1920,成都东,西安北
D1921,西安北,成都东
D1922,成都东,西安北
D1923,西安北,成都东
D1924,成都东,西安北
D1925,西安北,成都东
D1926,成都东,西安北
D1927,西安北,成都东
D1928,成都东,西安北
D1929,西安北,成都东
D1930,成都东,西安北
D1931,西安北,成都东
D1932,成都东,西安北
D1933,西安北,成都东
D1934,成都东,西安北
D1935,西安北,成都东
D1936,成都东,西安北
D1937,西安北,成都东
D1938,成都东,西安北
D1939,西安北,成都东
D1940,成都东,西安北
D1941,西安北,成都东
D1942,成都东,西安北
D1943,西安北,成都东
D1944,成都东,西安北
D1946,成都东,西安北
D1947,西安北,成都东
D1948,成都东,西安北
D1949,西安北,成都东
D1950,成都东,西安北
D1951,西安北,成都东
D1952,成都东,西安北
D1953,重庆西,太原南
D1954,太原南,重庆西
D1955,太原南,重庆西
D1956,重庆西,太原南
D1957,重庆西,太原南
D1958,太原南,重庆西
D1959,太原南,重庆西
D1960,重庆西,太原南
D1961,重庆西,太原南
D1962,太原南,重庆西
D1963,太原南,重庆西
D1964,重庆西,太原南
D1965,重庆西,西安北
D1968,重庆西,西安北
D1969,重庆西,西安北
D1970,西安北,重庆北
D1971,西安北,重庆北
D1972,重庆西,西安北
D1977,重庆北,西安北
D1978,西安北,重庆北
D1979,西安北,重庆北
D1980,重庆北,西安北
D1982,西安北,重庆北
D1983,西安北,重庆北
D1985,重庆北,西安北
D1986,西安北,重庆西
D1987,西安北,重庆西
D1988,重庆北,西安北
D1989,重庆北,西安北
D1990,西安北,重庆西
D1991,西安北,重庆西
D1992,重庆北,西安北
D2002,临汾西,北京西
D2003,北京西,运城北
D2004,运城北,北京西
D2005,北京西,临汾西
D2105,衢州,南昌
D2106,南昌,衢州
D2175,武汉,千岛湖
D2176,千岛湖,武汉
D2177,千岛湖,武汉
D2178,武汉,千岛湖
D2187,汉口,杭州
D2188,杭州,宜昌东
D2189,杭州,宜昌东
D2190,汉口,杭州
D2191,宜昌东,杭州东
D2192,杭州东,汉口
D2193,杭州东,汉口
D2194,宜昌东,杭州东
D2195,汉口,宁波
D2196,宁波,宜昌东
D2197,宁波,宜昌东
D2198,汉口,宁波
D2205,成都,上海虹桥
D2206,上海虹桥,成都
D2207,上海虹桥,成都
D2208,成都,上海虹桥
D2211,重庆北,上海虹桥
D2212,嘉兴南,重庆北
D2213,嘉兴南,重庆北
D2214,重庆北,上海虹桥
D2215,重庆北,上海虹桥
D2216,上海虹桥,重庆北
D2217,上海虹桥,重庆北
D2218,重庆北,上海虹桥
D2221,成都东,杭州东
D2222,杭州东,成都东
D2223,杭州东,成都东
D2224,成都东,杭州东
D2225,重庆北,福州
D2226,福州,重庆北
D2227,福州,重庆北
D2228,重庆北,福州
D2231,重庆北,厦门北
D2232,厦门北,重庆北
D2233,厦门北,重庆北
D2234,重庆北,厦门北
D2235,成都东,南昌
D2236,南昌,成都东
D2237,南昌,成都东
D2238,成都东,南昌
D2241,成都东,福州
D2242,福州,成都东
D2243,福州,成都东
D2244,成都东,福州
D2245,重庆北,杭州东
D2246,杭州东,重庆北
D2247,杭州东,重庆北
D2248,重庆北,杭州东
D2251,汉口,重庆北
D2252,重庆北,汉口
D2253,成都东,宜兴
D2254,宜兴,成都东
D2255,宜兴,成都东
D2256,成都东,宜兴
D2259,汉口,成都东
D2260,成都东,汉口
D2261,成都东,杭州东
D2262,杭州东,成都东
D2263,杭州东,成都东
D2264,成都东,杭州东
D2267,重庆北,南通
D2268,南通,重庆北
D2269,南通,重庆北
D2270,重庆北,南通
D2271,南京南,重庆北
D2272,重庆北,南京南
D2275,重庆北,武汉
D2276,武汉,重庆北
D2277,武汉,重庆北
D2278,重庆北,武汉
D2281,南京,深圳北
D2282,深圳北,南京
D2283,上海虹桥,深圳北
D2284,深圳北,上海虹桥
D2285,上海虹桥,深圳北
D2286,深圳北,上海虹桥
D2287,上海虹桥,深圳北
D2288,深圳北,上海虹桥
D2293,南京南,深圳北
D2294,深圳北,南京南
D2297,泰宁,深圳北
D2298,深圳北,福州南
D2301,福州南,深圳北
D2302,深圳北,福鼎
D2303,福州南,深圳北
D2304,深圳北,上饶
D2305,福鼎,深圳北
D2306,深圳北,福州南
D2307,福州南,深圳北
D2308,深圳北,福州南
D2309,福州南,深圳北
D2310,深圳北,福州南
D2311,福州南,深圳北
D2312,深圳北,福州南
D2313,泉州,深圳北
D2314,深圳北,泉州
D2315,泉州,深圳北
D2316,深圳北,厦门
D2317,厦门,深圳北
D2318,深圳北,厦门
D2319,厦门,深圳北
D2320,深圳北,泉州
D2321,南昌西,深圳北
D2322,深圳北,南昌西
D2323,福州南,深圳北
D2324,深圳北,泰宁
D2325,上饶,深圳北
D2326,深圳北,福州南
D2327,福州南,深圳北
D2328,深圳北,福州南
D2329,厦门北,深圳北
D2330,深圳北,福州
D2331,福州,深圳北
D2332,深圳北,厦门北
D2333,厦门,深圳北
D2334,深圳北,厦门
D2335,厦门,深圳北
D2336,深圳北,厦门
D2339,厦门,深圳北
D2340,深圳北,厦门
D2345,厦门,深圳北
D2346,深圳北,厦门
D2349,厦门,深圳北
D2350,深圳北,厦门
D2351,龙岩,深圳北
D2352,深圳北,武夷山东
D2353,武夷山东,深圳北
D2354,深圳北,龙岩
D2355,龙岩,深圳北
D2356,深圳北,龙岩
D2357,赣州,深圳北
D2358,深圳北,赣州
D2359,龙岩,深圳北
D2360,深圳北,龙岩
D2361,南昌西,深圳北
D2362,深圳北,南昌西
D2363,南宁东,广州南
D2364,广州南,南宁东
D2367,桂林北,珠海
D2368,珠海,桂林北
D2373,南京南,成都东
D2374,成都东,南京南
D2375,重庆北,厦门
D2376,厦门,重庆北
D2377,厦门,重庆北
D2378,重庆北,厦门
D2381,广州东,厦门
D2382,厦门,广州东
D2383,厦门,广州东
D2384,广州东,厦门
D2501,太原南,西安北
D2502,西安北,太原南
D2504,西安北,太原南
D2505,太原南,西安北
D2506,西安北,太原南
D2507,太原南,西安北
D2508,西安北,怀仁东
D2510,西安北,太原南
D2511,太原南,西安北
D2512,西安北,太原南
D2513,太原南,西安北
D2515,太原南,西安北
D2516,西安北,太原南
D2517,怀仁东,西安北
D2518,西安北,太原南
D2519,太原南,西安北
D2520,西安北,太原南
D2521,太原南,西安北
D2523,太原南,西安北
D2524,西安北,太原南
D2525,太原南,西安北
D2527,太原南,西安北
D2528,西安北,太原南
D2529,太原南,西安北
D2530,西安北,太原南
D2531,太原南,西安北
D2533,太原南,西安北
D2534,西安北,太原南
D2536,西安北,太原南
D2537,太原南,西安北
D2538,西安北,太原南
D2540,西安北,太原南
D2561,太原南,宝鸡南
D2562,宝鸡南,太原南
D2563,太原南,宝鸡南
D2564,宝鸡南,太原南
D2565,太原南,兰州西
D2566,兰州西,太原南
D2567,太原南,兰州西
D2568,兰州西,太原南
D2569,太原南,西宁
D2570,西宁,太原南
D2571,太原南,宝鸡南
D2572,宝鸡南,太原南
D2651,西安北,兰州西
D2652,兰州西,西安北
D2653,西安北,兰州西
D2654,兰州西,西安北
D2655,西安北,兰州西
D2656,兰州西,西安北
D2657,西安北,兰州西
D2658,兰州西,西安北
D2659,西安北,兰州西
D2660,兰州西,西安北
D2661,西安北,兰州西
D2662,兰州西,西安北
D2663,西安北,兰州西
D2664,兰州西,西安北
D2665,西安北,兰州西
D2666,兰州西,西安北
D2667,西安北,兰州西
D2668,兰州西,西安北
D2670,兰州西,西安北
D2671,西安北,嘉峪关南
D2672,嘉峪关南,西安北
D2673,西安北,嘉峪关南
D2674,嘉峪关南,西安北
D2675,西安北,兰州西
D2676,兰州西,西安北
D2677,西安北,兰州西
D2678,兰州西,西安北
D2679,西安北,兰州西
D2680,兰州西,西安北
D2681,西安北,兰州西
D2682,张掖西,西安北
D2683,西安北,兰州西
D2684,兰州西,西安北
D2685,西安北,西宁
D2687,西安北,嘉峪关南
D2688,西宁,西安北
D2689,西安北,兰州西
D2690,兰州西,西安北
D2692,西宁,西安北
D2693,西安北,兰州西
D2694,西宁,西安北
D2695,西安北,兰州西
D2696,嘉峪关南,西安北
D2697,西安北,西宁
D2698,兰州西,西安北
D2699,西安北,西宁
