station_name,station_telecode,province,city
CTH,余姚北,浙江省,宁波市
YSD,义县西,辽宁省,锦州市
YXD,义县,辽宁省,锦州市
YXY,洋县西,陕西省,汉中市
YXG,攸县南,湖南省,株洲市
YVK,阳信,山东省,滨州市
YZV,应县,山西省,朔州市
AXM,玉溪,云南省,玉溪市
YUH,宜兴,江苏省,无锡市
YBS,云霄,福建省,漳州市
YXS,尤溪,福建省,三明市
YAK,烟台,山东省,烟台市
YLK,烟台南,山东省,烟台市
YTL,伊通,吉林省,四平市
YKG,鹰潭北,江西省,鹰潭市
YTG,鹰潭,江西省,鹰潭市
CTQ,银滩,海南省,儋州市
BFQ,白马井,海南省,儋州市
YTS,永泰,福建省,福州市
YMS,雁石南,福建省,龙岩市
YNG,玉山,江西省,上饶市
YGG,玉山南,江西省,上饶市
ASY,永寿,陕西省,咸阳市
YCZ,阳朔,广西壮族自治区,桂林市
YVH,颍上,安徽省,阜阳市
YBU,颍上北,安徽省,阜阳市
YQV,阳曲,山西省,太原市
IQV,阳曲西,山西省,太原市
YQA,杨桥,湖南省,邵阳市
FGP,雁栖湖,北京市,北京市
YWS,延平西,福建省,南平市
ADS,延平东,福建省,南平市
YPS,延平,福建省,南平市
ANM,云南驿,云南省,大理白族自治州
YKQ,郁南,广东省,云浮市
AMM,元谋西,云南省,楚雄彝族自治州
YMX,伊敏,内蒙古自治区,鄂温克族自治旗
YRN,云梦东,湖北省,孝感市
YMN,云梦,湖北省,孝感市
YPB,一面坡,黑龙江省,哈尔滨市
YXB,一面坡北,黑龙江省,哈尔滨市
YME,羊马,四川省,成都市
YEY,杨陵南,陕西省,咸阳市
YSY,杨陵,陕西省,咸阳市
YAG,炎陵,湖南省,株洲市
YIF,鄢陵,河南省,许昌市
YEB,依兰,黑龙江省,哈尔滨市
RFH,永康,浙江省,金华市
QUH,永康南,浙江省,金华市
YJL,延吉,吉林省,延边朝鲜族自治州
YXL,延吉西,吉林省,延边朝鲜族自治州
RVH,弋江,安徽省,芜湖市
WHH,芜湖,安徽省,芜湖市
AJV,永济北,山西省,运城市
YIV,永济,山西省,运城市
GTH,洋河,江苏省,宿迁市
SQU,宿迁,江苏省,宿迁市
AGV,阳高南,山西省,大同市
YOV,阳高,山西省,大同市
VTM,雨格,贵州省,六盘水市
YBZ,永福南,广西壮族自治区,桂林市
IXQ,云浮东,广东省,云浮市
AOJ,姚渡,四川省,广元市
SJQ,三水,广东省,佛山市
RNQ,三水南,广东省,佛山市
ARQ,三水北,广东省,佛山市
NAQ,云东海,广东省,佛山市
AWW,岳池,四川省,广安市
YEG,宜春,江西省,宜春市
WMW,永川东,重庆市,重庆市
YCW,永川,重庆市,重庆市
YSK,禹城东,山东省,德州市
